acd_name,openalex_id,openalex_display_name,last_known_institution,institution_country,works_count,h_index,aunz_ever,confidence,resolution_method,priority,pub_count,citation_count,i10_index,fwci_mean,fwci_median,oa_rate,intl_collab_rate,first_author_pct,last_author_pct,grants_count,first_year,last_year,trial_count,derm_pub_count,derm_relevance_rate,pub_count_pctile,citation_count_pctile,h_index_pctile,oa_rate_pctile,intl_collab_rate_pctile,grants_count_pctile,total_citations
Dr Alan Michael Donnelly,A5005092540,Alan M Donnelly,Fremantle Hospital,AU,1.0,0.0,1.0,HIGH,pass3_llm_high,must,1.0,27.0,1.0,0.5028,0.5028,0.0,0.0,0.0,1.0,0.0,1996.0,1996.0,0.0,1.0,100.0,6.78851174934726,24.59016393442623,38.642297650130544,11.74863387978142,13.797814207650273,41.39344262295082,27.0
Dr Alana Jane Tuxen,A5112171476,A Tuxen,Royal Children's Hospital,AU,8.0,5.0,1.0,HIGH,manual_override_corrected,must,8.0,112.0,4.0,0.6102285714285715,0.2003,0.125,0.0,0.75,0.0,0.0,1960.0,2016.0,0.0,5.0,62.5,51.174934725848566,49.86338797814208,88.1201044386423,28.688524590163933,13.797814207650273,41.39344262295082,112.0
Dr Alexander James Tedman,A5050672966,Alexander Tedman,The University of Sydney,AU,3.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,3.0,106.0,1.0,6.491766666666667,0.4674,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,2020.0,2023.0,0.0,3.0,100.0,25.06527415143603,48.36065573770492,38.642297650130544,90.02732240437157,96.99453551912568,41.39344262295082,106.0
Dr Alexandra Louise Varol,A5111640823,Alexandra Varol,Liverpool Hospital,AU,4.0,0.0,1.0,HIGH,pass3_llm_high,must,4.0,117.0,3.0,1.007075,0.8464,0.0,1.0,0.75,0.0,0.0,2001.0,2010.0,0.0,4.0,100.0,31.59268929503917,50.40983606557376,38.642297650130544,11.74863387978142,96.99453551912568,41.39344262295082,117.0
Dr Alexis Daniel Lara Rivero,A5126815191,Alexis Daniel Lara Rivero,UNSW Sydney,AU,1.0,0.0,1.0,HIGH,pass1_targeted,must,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2026.0,2026.0,0.0,1.0,100.0,6.78851174934726,2.459016393442623,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,0.0
Dr Alice Louise Rudd,A5073136865,Alice Rudd,Geelong Hospital,AU,5.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,5.0,123.0,3.0,5.065840000000001,4.0555,1.0,0.8,0.0,0.0,0.0,2019.0,2025.0,0.0,4.0,80.0,36.55352480417754,52.04918032786885,38.642297650130544,96.31147540983606,92.62295081967213,41.39344262295082,123.0
Dr Alvand  Amiri,A5000468851,Alvand Amiri,The George Institute for Global Health,AU,1.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,1.0,2.0,0.0,0.3169,0.3169,0.0,0.0,0.0,1.0,0.0,2020.0,2020.0,0.0,1.0,100.0,6.78851174934726,6.967213114754098,38.642297650130544,11.74863387978142,13.797814207650273,41.39344262295082,2.0
Dr Alvin Heong On Chong,A5135112067,Alvin H. Chong,St Vincent's Hospital Melbourne,AU,1.0,0.0,1.0,HIGH,pass3_llm_high,must,1.0,1.0,0.0,12.0604,12.0604,1.0,0.0,0.0,1.0,0.0,2026.0,2026.0,0.0,1.0,100.0,6.78851174934726,5.327868852459016,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,1.0
Dr Amanda  Glanz,A5034001319,Amanda Glanz,The University of Sydney,AU,7.0,0.0,1.0,HIGH,pass1_targeted,must,7.0,16.0,0.0,4.009542857142857,0.4596,0.5714285714285714,0.5714285714285714,0.0,0.1428571428571428,5.0,2024.0,2026.0,0.0,7.0,100.0,46.60574412532637,17.21311475409836,38.642297650130544,85.92896174863388,87.1584699453552,91.12021857923496,16.0
Dr Amanda Jayne Dore,A5089222759,Amanda Dore,Children's Health Queensland Hospital and Health Service,AU,5.0,0.0,1.0,HIGH,pass3_llm_high,must,5.0,122.0,3.0,2.45434,2.6641,0.2,0.2,0.4,0.2,0.0,2003.0,2025.0,0.0,5.0,100.0,36.55352480417754,51.50273224043716,38.642297650130544,38.3879781420765,48.08743169398907,41.39344262295082,122.0
Dr Amanda Mary Godbolt,A5044499142,Amanda Godbolt,Royal Brisbane and Women's Hospital,AU,10.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,10.0,201.0,6.0,0.96893,0.8767,0.1,0.3,0.2,0.2,0.0,2001.0,2026.0,0.0,10.0,100.0,57.04960835509139,63.387978142076506,38.642297650130544,26.639344262295083,60.10928961748634,41.39344262295082,201.0
Dr Anastasios  Stavrakoglou,A5014189689,Anastasios Stavrakoglou,Alfred Health,AU,9.0,0.0,1.0,HIGH,pass2_global,must,9.0,73.0,4.0,0.6452444444444444,0.2836,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.0,2007.0,2022.0,0.0,9.0,100.0,54.43864229765013,41.939890710382514,38.642297650130544,57.240437158469945,86.33879781420765,41.39344262295082,73.0
Dr Andrea  Jopp-McKay,A5076155144,A.G. Jopp-Mckay,The University of Sydney,AU,12.0,6.0,1.0,HIGH,manual_override_corrected,must,12.0,699.0,6.0,1.463890909090909,0.0,0.25,0.1666666666666666,0.1666666666666666,0.25,0.0,1990.0,2019.0,0.0,7.0,58.3,60.835509138381205,86.0655737704918,89.03394255874673,45.08196721311475,42.48633879781421,41.39344262295082,699.0
Dr Andrea  Tomizawa,A5007381136,Andrea Tomizawa,,,1.0,0.0,0.0,HIGH,manual_override_corrected,must,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2017.0,2017.0,0.0,1.0,100.0,6.78851174934726,2.459016393442623,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,0.0
Dr Andrew Campbell Satchell,A5085949418,Andrew C. Satchell,Dubbo Hospital,AU,10.0,0.0,1.0,HIGH,pass2_global,must,10.0,401.0,7.0,1.7844900000000004,1.42675,0.3,0.1,0.5,0.1,0.0,2000.0,2023.0,0.0,10.0,100.0,57.04960835509139,77.8688524590164,38.642297650130544,51.36612021857923,32.240437158469945,41.39344262295082,401.0
Dr Andrew Chih-Chieh Chen,A5043282205,Andrew Chih‐Chieh Chen,,,3.0,2.0,0.0,HIGH,manual_override_corrected,must,3.0,24.0,1.0,0.4154666666666666,0.6132,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,7.0,2012.0,2016.0,1.0,3.0,100.0,25.06527415143603,22.26775956284153,83.28981723237598,57.240437158469945,65.84699453551912,93.44262295081968,24.0
Dr Andrew Peter Jevtic,A5111467713,Andrew Jevtic,Royal Hobart Hospital,AU,6.0,0.0,1.0,HIGH,pass2_global,must,6.0,69.0,2.0,0.6862499999999999,0.6613,0.0,0.1666666666666666,0.5,0.5,0.0,1987.0,2013.0,0.0,6.0,100.0,41.38381201044387,40.84699453551913,38.642297650130544,11.74863387978142,42.48633879781421,41.39344262295082,69.0
Dr Andrew William Swarbrick,A5028545621,Andrew W Swarbrick,Sir Charles Gairdner Hospital,AU,3.0,0.0,1.0,HIGH,pass3_llm_high,must,3.0,34.0,1.0,1.3665,0.4329,0.0,0.0,1.0,0.0,0.0,2017.0,2021.0,0.0,3.0,100.0,25.06527415143603,27.86885245901639,38.642297650130544,11.74863387978142,13.797814207650273,41.39344262295082,34.0
Dr Angelica  Tjokrowidjaja,A5089133510,Angelica Tjokrowidjaja,Liverpool Hospital,AU,1.0,0.0,1.0,HIGH,pass2_global,must,1.0,2.0,0.0,0.3168,0.3168,1.0,0.0,0.0,0.0,0.0,2020.0,2020.0,0.0,1.0,100.0,6.78851174934726,6.967213114754098,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,2.0
Dr Anina Kaisli-Maaria Fitzgibbon,A5087893215,Anina Fitzgibbon,Monash Health,AU,4.0,0.0,1.0,HIGH,pass3_llm_high,must,4.0,6.0,0.0,4.1023000000000005,0.1338,0.5,0.25,0.0,0.0,0.0,2014.0,2026.0,0.0,4.0,100.0,31.59268929503917,11.33879781420765,38.642297650130544,80.60109289617486,55.32786885245902,41.39344262295082,6.0
Dr Anita Lee Lasocki,A5067871273,Anita Lasocki,St Vincent's Hospital Melbourne,AU,6.0,0.0,1.0,HIGH,pass3_llm_high,must,6.0,78.0,3.0,1.54115,0.99375,0.0,0.1666666666666666,0.5,0.5,0.0,2008.0,2024.0,0.0,6.0,100.0,41.38381201044387,43.71584699453552,38.642297650130544,11.74863387978142,42.48633879781421,41.39344262295082,78.0
Dr Ann Radha Boyapati,A5087756316,Ann Boyapati,Monash Health,AU,6.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,6.0,85.0,2.0,1.4394000000000002,0.28955,0.1666666666666666,0.0,0.5,0.3333333333333333,0.0,2012.0,2025.0,0.0,6.0,100.0,41.38381201044387,44.80874316939891,38.642297650130544,34.42622950819672,13.797814207650273,41.39344262295082,85.0
Dr Ann-Maree  Kurzydlo,A5098506751,Ann‐Maree Kurzydlo,Royal Australian and New Zealand College of Radiologists,AU,1.0,1.0,1.0,HIGH,manual_override_corrected,must,1.0,16.0,1.0,1.7538,1.7538,0.0,1.0,1.0,0.0,0.0,2005.0,2005.0,0.0,1.0,100.0,6.78851174934726,17.21311475409836,79.11227154046998,11.74863387978142,96.99453551912568,41.39344262295082,16.0
Dr Anna  Braue,A5055259312,Anna Braue,The Royal Melbourne Hospital,AU,18.0,0.0,1.0,HIGH,pass1_targeted,must,18.0,1152.0,9.0,3.1328722222222223,0.6186499999999999,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,2005.0,2024.0,1.0,18.0,100.0,72.32375979112271,90.1639344262295,38.642297650130544,41.2568306010929,65.84699453551912,41.39344262295082,1152.0
Dr Annabel Irene Stevenson,A5111284685,Annabel Stevenson,Royal Adelaide Hospital,AU,7.0,0.0,1.0,HIGH,pass3_llm_high,must,7.0,2.0,0.0,0.0985714285714285,0.0,1.0,0.0,0.0,0.8571428571428571,0.0,2024.0,2026.0,0.0,7.0,100.0,46.60574412532637,6.967213114754098,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,2.0
Dr Anne Elizabeth Lewis,A5027321419,Anne Elizabeth Lewis,,,1.0,0.0,0.0,HIGH,manual_override_corrected,must,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,2014.0,2014.0,0.0,0.0,0.0,6.78851174934726,2.459016393442623,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,0.0
Dr Anne Rosemary Halbert,A5110509081,Anne Halbert,The University of Western Australia,AU,38.0,18.0,1.0,HIGH,restored_manual_review,must,38.0,,,,,,,,,,,,,,,85.6396866840731,,95.30026109660574,,,,
Dr Annette Lisa Pearce,A5113596658,Annette Pearce,South Australian Research and Development Institute,AU,5.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,5.0,75.0,1.0,0.683675,0.8050999999999999,0.2,0.2,0.4,0.2,0.0,1999.0,2019.0,0.0,4.0,80.0,36.55352480417754,42.759562841530055,38.642297650130544,38.3879781420765,48.08743169398907,41.39344262295082,75.0
Dr Annette Rachel Hamori Wegman,A5031958269,Annette Wegman,Prince of Wales Hospital,AU,3.0,0.0,1.0,HIGH,pass3_llm_high,must,3.0,38.0,1.0,0.5230666666666667,0.1927,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1986.0,2009.0,0.0,3.0,100.0,25.06527415143603,29.508196721311474,38.642297650130544,57.240437158469945,13.797814207650273,41.39344262295082,38.0
Dr Annika  Smith,A5055174077,Annika Smith,The University of Sydney,AU,6.0,0.0,1.0,HIGH,pass1_targeted,must,6.0,47.0,2.0,0.5071333333333333,0.35765,0.1666666666666666,0.1666666666666666,0.5,0.3333333333333333,0.0,1988.0,2026.0,1.0,3.0,50.0,41.38381201044387,33.060109289617486,38.642297650130544,34.42622950819672,42.48633879781421,41.39344262295082,47.0
Dr Anosha  Yazdabadi,A5112395904,Anosha Yazdabadi,Eastern Health,AU,7.0,0.0,1.0,HIGH,pass1_targeted,must,7.0,100.0,3.0,0.9317166666666664,0.5563,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.1428571428571428,0.0,2009.0,2024.0,0.0,6.0,85.7,46.60574412532637,47.13114754098361,38.642297650130544,49.31693989071038,58.46994535519126,41.39344262295082,100.0
Dr Anthea Frances Mulcahy,A5011620047,Anthea Mulcahy,Box Hill Hospital,AU,5.0,0.0,1.0,HIGH,pass3_llm_high,must,5.0,36.0,2.0,0.43784,0.6152,0.2,0.0,0.4,0.4,0.0,2016.0,2022.0,0.0,5.0,100.0,36.55352480417754,28.825136612021858,38.642297650130544,38.3879781420765,13.797814207650273,41.39344262295082,36.0
Dr Antoinette  Ciconte,A5060567618,Antoinette Ciconte,Box Hill Hospital,AU,10.0,0.0,1.0,HIGH,pass1_targeted,must,10.0,154.0,4.0,1.0066,0.3909,0.3,0.5,0.4,0.1,0.0,1982.0,2025.0,0.0,7.0,70.0,57.04960835509139,57.78688524590165,38.642297650130544,51.36612021857923,80.19125683060109,41.39344262295082,154.0
Dr Antonia Maria Laino,A5075245713,Antonia Laino,The University of Queensland,AU,9.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,9.0,245.0,5.0,1.335375,1.0055999999999998,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.0,20.0,2017.0,2021.0,0.0,8.0,88.9,54.43864229765013,69.12568306010928,38.642297650130544,90.02732240437157,65.84699453551912,97.54098360655738,245.0
Dr Arabella Helen Wallett,A5079840138,Arabella Wallett,Royal Adelaide Hospital,AU,11.0,0.0,1.0,HIGH,pass3_llm_high,must,11.0,50.0,2.0,0.5103454545454545,0.4783,0.2727272727272727,0.1818181818181818,0.4545454545454545,0.3636363636363636,0.0,2010.0,2026.0,0.0,8.0,72.7,59.00783289817232,34.42622950819672,38.642297650130544,47.540983606557376,45.49180327868852,41.39344262295082,50.0
Dr Artiene Hagob John Tatian,A5030580904,Artiene Tatian,UNSW Sydney,AU,26.0,0.0,1.0,HIGH,pass3_llm_high,must,26.0,157.0,5.0,1.3840346153846153,0.6815,0.5,0.1153846153846153,0.1538461538461538,0.3076923076923077,0.0,2017.0,2026.0,0.0,25.0,96.2,80.93994778067885,58.46994535519126,38.642297650130544,80.60109289617486,34.42622950819672,41.39344262295082,157.0
Dr Asoka Kumarihamy Herat,A5007414126,Asoka Herat,Mater Adult Hospital,AU,3.0,0.0,1.0,HIGH,pass3_llm_high,must,3.0,32.0,2.0,1.396766666666667,1.5173,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,2006.0,2020.0,0.0,3.0,100.0,25.06527415143603,27.18579234972678,38.642297650130544,57.240437158469945,13.797814207650273,41.39344262295082,32.0
Dr Austen Kathleen Anderson,A5044786864,Austen Anderson,Royal Perth Hospital,AU,15.0,0.0,1.0,HIGH,pass3_llm_high,must,15.0,144.0,3.0,0.7296760458333335,0.418506275,0.2857142857142857,0.2666666666666666,0.4,0.0,9.0,1999.0,2026.0,0.0,7.0,46.7,67.75456919060052,56.01092896174863,38.642297650130544,49.31693989071038,57.103825136612016,94.39890710382514,144.0
Dr Benjamin James Carew,A5072524473,Benjamin Carew,Mater Adult Hospital,AU,6.0,0.0,1.0,HIGH,pass3_llm_high,must,6.0,49.0,2.0,0.4533333333333333,0.4824,0.1666666666666666,0.0,0.5,0.1666666666666666,0.0,2013.0,2020.0,0.0,6.0,100.0,41.38381201044387,33.87978142076503,38.642297650130544,34.42622950819672,13.797814207650273,41.39344262295082,49.0
Dr Benjamin Silas Daniel,A5086530387,Benjamin S. Daniel,UNSW Sydney,AU,2.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,95.0,1584.0,21.0,1.444202702702703,0.6076,0.2765957446808511,0.2421052631578947,0.2421052631578947,0.4210526315789473,10.0,2010.0,2025.0,0.0,85.0,89.5,93.47258485639686,92.07650273224044,38.642297650130544,47.81420765027322,53.278688524590166,95.08196721311477,1584.0
Dr Bernadette Mary Ricciardo,A5023383113,Bernadette Ricciardo,The University of Western Australia,AU,33.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,33.0,289.0,5.0,1.7926281249999998,0.8047500000000001,0.4848484848484848,0.2121212121212121,0.4545454545454545,0.3333333333333333,5.0,2008.0,2026.0,0.0,25.0,75.8,84.20365535248042,71.31147540983606,38.642297650130544,76.775956284153,50.81967213114754,91.12021857923496,289.0
Dr Bert Markou Pruim,A5089262289,Bert Pruim,Royal Darwin Hospital,AU,4.0,0.0,1.0,HIGH,pass3_llm_high,must,4.0,126.0,3.0,1.108025,0.36935,0.5,0.0,0.75,0.0,0.0,1999.0,2003.0,0.0,4.0,100.0,31.59268929503917,52.86885245901639,38.642297650130544,80.60109289617486,13.797814207650273,41.39344262295082,126.0
Dr Bishakha  Rajagopalan,A5052370797,B Rajagopalan,Ballarat Health Services,AU,25.0,6.0,1.0,HIGH,manual_override_corrected,must,25.0,137.0,5.0,0.2295479999999999,0.0,0.28,0.32,0.2,0.44,0.0,1990.0,2024.0,0.0,15.0,60.0,79.63446475195822,55.05464480874317,89.03394255874673,48.36065573770492,62.704918032786885,41.39344262295082,137.0
Dr Bonita Choy,A5042286929,Bonita Choy,The University of Sydney,AU,9.0,6.0,1.0,HIGH,manual_override_corrected,must,9.0,767.0,5.0,4.750555555555555,1.4136,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,2014.0,2019.0,0.0,9.0,100.0,54.43864229765013,87.1584699453552,89.03394255874673,41.2568306010929,33.7431693989071,41.39344262295082,767.0
Dr Bonnie Anne Fergie,A5001549444,Bonnie Fergie,Canberra Hospital,AU,4.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,4.0,57.0,2.0,1.0019,0.7212000000000001,0.5,0.0,0.75,0.0,0.0,2015.0,2017.0,0.0,4.0,100.0,31.59268929503917,36.47540983606557,38.642297650130544,80.60109289617486,13.797814207650273,41.39344262295082,57.0
Dr Brian John De'ambrosis,A5017467471,Brian De Ambrosis,Princess Alexandra Hospital,AU,1.0,0.0,1.0,HIGH,pass3_llm_high,must,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1990.0,1990.0,0.0,1.0,100.0,6.78851174934726,6.967213114754098,38.642297650130544,11.74863387978142,13.797814207650273,41.39344262295082,2.0
Dr Brogan Kelly Salence,A5072061828,Brogan Kelly Salence,Gosford Hospital,AU,7.0,0.0,1.0,HIGH,pass2_global,must,7.0,42.0,1.0,0.7693714285714286,0.0,0.5714285714285714,1.0,0.5714285714285714,0.0,4.0,2017.0,2024.0,0.0,7.0,100.0,46.60574412532637,31.14754098360656,38.642297650130544,85.92896174863388,96.99453551912568,89.61748633879782,42.0
Dr Bruce Colin Leslie McGeorge,A5002455975,Bruce C.L. McGeorge,Royal Darwin Hospital,AU,4.0,0.0,1.0,HIGH,pass3_llm_high,must,4.0,12.0,1.0,0.0,0.0,0.0,0.25,0.75,0.25,0.0,1992.0,2012.0,0.0,4.0,100.0,31.59268929503917,15.983606557377051,38.642297650130544,11.74863387978142,55.32786885245902,41.39344262295082,12.0
Dr Bruce James Tate,A5011520227,Bruce Tate,Skin Health Institute,AU,28.0,16.0,1.0,HIGH,restored_manual_review,must,28.0,,,,,,,,,,,,,,,82.11488250652742,,93.86422976501304,,,,
Dr Bruna  Melhoranse Gouveia,A5079604816,Bruna Melhoranse Gouveia,The University of Sydney,AU,28.0,0.0,1.0,HIGH,pass1_targeted,must,28.0,119.0,3.0,1.1759923076923078,0.50495,0.6071428571428571,0.6428571428571429,0.3571428571428571,0.0,7.0,2014.0,2025.0,0.0,26.0,92.9,82.11488250652742,50.81967213114754,38.642297650130544,86.88524590163934,89.07103825136612,93.44262295081968,119.0
Dr Bruno  Blaya Alvarez,A5013822061,Bruno Blaya Alvarez,St Vincent's Hospital Sydney,AU,2.0,0.0,1.0,HIGH,pass1_targeted,must,2.0,8.0,0.0,0.4565,0.4565,0.5,0.0,0.0,0.0,0.0,2020.0,2022.0,0.0,2.0,100.0,17.362924281984334,13.25136612021858,38.642297650130544,80.60109289617486,13.797814207650273,41.39344262295082,8.0
Dr Bryan Ka Chiu Pang,A5038823958,Bryan K. Pang,Liverpool Hospital,AU,11.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,11.0,234.0,8.0,0.7879636363636364,0.4688,0.0,0.5454545454545454,0.5454545454545454,0.4545454545454545,0.0,1992.0,1997.0,0.0,11.0,100.0,59.00783289817232,67.89617486338798,38.642297650130544,11.74863387978142,85.65573770491804,41.39344262295082,234.0
Dr Burcu  Kim,A5014705000,Burcu Kim,The University of Sydney,AU,2.0,0.0,1.0,HIGH,pass1_targeted,must,2.0,21.0,1.0,2.4956,2.4956,0.0,0.0,1.0,0.0,0.0,2014.0,2017.0,0.0,2.0,100.0,17.362924281984334,20.62841530054645,38.642297650130544,11.74863387978142,13.797814207650273,41.39344262295082,21.0
Dr Carol Chiu Yen Oh Adib,A5086133541,Carol Chiu Yen Oh Adib,,,1.0,0.0,0.0,HIGH,manual_override_corrected,must,1.0,0.0,0.0,,,1.0,0.0,1.0,0.0,0.0,2010.0,2010.0,0.0,1.0,100.0,6.78851174934726,2.459016393442623,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,0.0
Dr Caroline Hsien-Feng Thoo,A5082011926,Caroline HF Thoo,Skin and Cancer Foundation,AU,1.0,0.0,1.0,HIGH,pass3_llm_high,must,1.0,20.0,1.0,1.6266,1.6266,1.0,0.0,1.0,0.0,0.0,2008.0,2008.0,0.0,1.0,100.0,6.78851174934726,20.081967213114755,38.642297650130544,96.31147540983606,13.797814207650273,41.39344262295082,20.0
Dr Casey Jane Rowe,A5066375948,Casey Rowe,The University of Queensland,AU,27.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,27.0,447.0,5.0,1.8273038461538464,0.2292,0.2962962962962963,0.4074074074074074,0.4444444444444444,0.037037037037037,36.0,2013.0,2024.0,1.0,25.0,92.6,81.59268929503916,80.32786885245902,38.642297650130544,50.54644808743169,74.04371584699454,98.08743169398907,447.0
Dr Cassandra  Chaptini,A5028799593,Cassandra Chaptini,South Australia Pathology,AU,7.0,0.0,1.0,HIGH,pass1_targeted,must,7.0,81.0,4.0,0.7161571428571428,0.4994,0.4285714285714285,0.0,0.8571428571428571,0.0,0.0,2014.0,2015.0,0.0,7.0,100.0,46.60574412532637,44.26229508196721,38.642297650130544,71.72131147540983,13.797814207650273,41.39344262295082,81.0
Dr Catherine Frances Faulkner,A5041996671,Catherine Faulkner,,,9.0,0.0,1.0,HIGH,pass3_llm_high,must,9.0,222.0,6.0,0.8187888888888888,0.6051,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,1992.0,2014.0,0.0,8.0,88.9,54.43864229765013,66.39344262295081,38.642297650130544,27.732240437158467,89.89071038251366,41.39344262295082,222.0
Dr Catherine Luisa Orana Black,A5077841778,Catherine L. Black,Royal Adelaide Hospital,AU,2.0,0.0,1.0,HIGH,pass2b_coauth_bootstrap,must,2.0,59.0,2.0,1.3489,1.3489,0.5,0.5,0.5,0.0,0.0,2009.0,2012.0,0.0,1.0,50.0,17.362924281984334,37.56830601092896,38.642297650130544,80.60109289617486,80.19125683060109,41.39344262295082,59.0
