acd_name,ahpra_proven,score_name,score_country,score_inst,score_topic,score_state,score_history,score_hospital,score_semantic,score_llm,total_score,confidence,reject_reason,ambiguity_flags
Dr Sara  Sabourirad,1,40,15,15,15,0,15,0,0,0,93,NOT_FOUND,llm_rejected,NO_TOPIC_DATA|NO_INSTITUTION|NO_GEOGRAPHY|INSUFFICIENT_DATA
Dr Sara Lee De Menezes,1,40,15,15,15,0,15,0,0,0,93,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|INSTITUTION_MISMATCH
Dr Sara Marie Tritton,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Sarah Clio Hannam,1,15,25,15,15,12,0,0,0,0,90,NOT_FOUND,llm_rejected,COMMON_NAME|WEAK_TOPIC|INSUFFICIENT_DATA
Dr Sarah Jessica Strathie Page,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,LOW_WORKS_COUNT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT|DISTINCTIVE_NAME
Dr Sarah Kirsten McDonald,1,15,25,0,0,12,0,0,0,0,60,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COUNTRY_MISMATCH|INSTITUTION_MISMATCH
Dr Sarah Kym Morton,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,NO_PUBLICATIONS_AVAILABLE|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|NO_TOPIC_DATA|COMMON_NAME
Dr Sarah Louise Smithson,1,15,25,15,15,0,0,0,0,15,93,REVIEW,,PLAUSIBLE_CLINICIAN|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT|INSTITUTION_MATCH|TRAINING_AFFILIATION_NOT_CURRENT
Dr Sarath Naidu Bodapati,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Sarvjit  Kumari,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Sarvjit Kaur Sohal,1,15,25,15,0,0,0,0,0,15,78,REVIEW,,SPECIALTY_WEAK|PLAUSIBLE_CLINICIAN
Dr Scott Andrew Webber,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,LOW_WORKS_COUNT|NO_PUBLICATIONS_AVAILABLE|PLAUSIBLE_CLINICIAN|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT|COMMON_NAME|WEAK_EVIDENCE
Dr Seamus Reilly McWhirter,1,15,15,15,15,0,15,0,0,0,68,NOT_FOUND,llm_rejected,NO_INSTITUTION|NO_COUNTRY_HISTORY|INSUFFICIENT_DATA|WEAK_TOPIC
Dr Selim Murat Ozluer,1,15,25,0,15,12,0,0,0,0,75,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|WEAK_TOPIC|PLAUSIBLE_CLINICIAN
Dr Seo Hee Deanne Choi,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Shally  Gupta,1,40,25,0,0,12,0,0,0,0,85,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|WEAK_TOPIC|INSTITUTION_MISMATCH
Dr Shiva  Baghaei,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Shobha  Joseph,1,40,25,0,15,0,0,0,0,15,103,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT|SINCLAIR_DERMATOLOGY_MATCH
Dr Shobhan  Manoharan,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Shreya  Andric,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Shui Lyn  Koh,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Shyamalar  Gunatheesan,1,40,15,15,15,0,15,0,0,0,93,REVIEW,,LLM_DISAGREEMENT|NO_COUNTRY_DATA|PLAUSIBLE_CLINICIAN|UNIQUE_NAME|NO_PUBLICATIONS|SPARSE_OPENALEX_DATA|NO_INSTITUTION|NO_TOPICS|INSUFFICIENT_EVIDENCE
Dr Simon Anthony Yong Gee,1,0,25,15,15,12,0,0,0,0,75,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|NO_TOPIC_DATA|LOW_PUBLICATION_COUNT
Dr Simon Christopher Tucker,1,0,25,15,15,0,0,0,0,15,78,REVIEW,,PLAUSIBLE_CLINICIAN|GEOGRAPHY_MATCH
Dr Simon Harrington Lee,1,0,25,15,15,0,0,15,0,0,78,REVIEW,,LLM_DISAGREEMENT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|INSUFFICIENT_WORKS|MINIMAL_PUBLICATION_RECORD|COMMON_NAME
Dr Simon James Khoury,1,15,15,15,0,12,15,0,0,0,65,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COUNTRY_MISMATCH|NO_TOPIC_DATA|COMMON_NAME
Dr Sophia  Bakis-Petsoglou,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Stephanie Clare Blake,1,15,25,15,15,12,0,0,0,0,90,REVIEW,,LLM_DISAGREEMENT|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|INSTITUTION_MISMATCH|LIMITED_PUBLICATION_DATA|COMMON_NAME
Dr Stephanie Jan Rea,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Stephanie Marisa Tizi,1,15,25,15,15,0,0,0,0,15,93,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Stephen Anthony Thomas,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Stephen David Christopher Andrews,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Stephen Edmund Donoghue,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Stuart Conrad Murray,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Su-Lin  Chan,1,30,15,15,15,12,15,0,0,0,95,NOT_FOUND,llm_rejected,INSUFFICIENT_DATA|NO_COUNTRY_HISTORY|NO_INSTITUTION|NO_TOPICS
Dr Sudha  Anish,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Sudipta  Daly,1,40,25,0,15,0,0,0,0,0,88,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|WEAK_TOPIC|INSTITUTION_MISMATCH
Dr Sue Yen Michelle Goh,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Sue Yin  Ng,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Sunila  Anbarasu,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Suresh  Chandra,1,40,15,15,0,12,15,0,0,0,87,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COMMON_NAME|COUNTRY_MISMATCH|WRONG_FIELD
Dr Susan Elise Sinclair,1,15,15,15,15,0,15,0,0,0,68,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|INSTITUTION_MISMATCH
Dr Tahereh  Taklif,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Tania Maree Zappala,1,15,25,15,15,12,0,0,0,0,90,REVIEW,,LLM_DISAGREEMENT|LOW_WORKS_COUNT|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|NO_TOPIC_DATA|UNVERIFIED_SPECIALTY
Dr Tanja Gizela Bohl,1,0,25,15,15,0,0,0,0,15,78,REVIEW,,NO_PUBLICATIONS_AVAILABLE|UNABLE_TO_VERIFY_SPECIALTY|PLAUSIBLE_CLINICIAN|SPECIALTY_INTEREST_MATCH|NO_TOPICS_AVAILABLE
Dr Tanya Kristine Gilmour,1,0,25,15,15,0,0,0,0,0,63,NOT_FOUND,llm_rejected,COUNTRY_MISMATCH|WEAK_TOPIC|PLAUSIBLE_CLINICIAN|INSTITUTION_MISMATCH
Dr Tasman Kenneth Lipscombe,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Terence Sui Chern Poon,1,15,15,15,15,12,15,0,0,0,80,REVIEW,,LLM_DISAGREEMENT|NO_PUBLICATIONS_AVAILABLE|NO_COUNTRY_DATA|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|NO_TOPIC_DATA|INSUFFICIENT_EVIDENCE
Dr Theodore Clyde Carner,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Theresa Margaret Skender-Kalnenas,1,15,25,15,15,0,0,0,0,15,93,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT|INSTITUTION_NAME_MISMATCH
Dr Thomas Anthony Delaney,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|NO_PUBLICATION_DATA|NO_TOPIC_DATA|MODERATE_NAME_AMBIGUITY|AU_INSTITUTION_MATCH
Dr Thomas Hugh Barrett,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Thomas Jonathan Stewart,1,0,25,15,15,12,0,0,0,0,72,NOT_FOUND,llm_rejected,COMMON_NAME|PLAUSIBLE_CLINICIAN|WEAK_TOPIC|INSTITUTION_MISMATCH
Dr Thomas Macdonald Pitney,1,0,25,15,15,12,0,0,0,15,90,REVIEW,,LOW_WORKS_COUNT|NO_PUBLICATIONS_AVAILABLE|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|LIMITED_PUBLICATION_DATA|MISSING_TOPIC_DATA
Dr Timothy John O'Brien,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Timothy John Rutherford,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Tony Philip Caccetta,1,0,25,15,15,12,0,0,0,15,90,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Troy Anthony Darben,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Vanessa Leonie Paddon,1,15,25,15,15,12,0,0,0,0,90,REVIEW,,LLM_DISAGREEMENT|UNVERIFIABLE_SPECIALTY|PLAUSIBLE_CLINICIAN|INSUFFICIENT_PUBLICATION_DATA|WEAK_TOPIC|INSTITUTION_MISMATCH|MINIMAL_PUBLICATION_RECORD
Dr Vanessa Marguerite Palmer,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Vernon Sik Chuan Pua,1,0,0,0,0,0,0,0,0,0,0,NOT_FOUND,no_viable_candidate,
Dr Victoria Anne Snaidr,1,15,25,15,15,12,0,0,0,15,105,REVIEW,,PLAUSIBLE_CLINICIAN|LOW_PUBLICATION_COUNT
Dr Victoria Jane Mar,1,15,25,15,15,12,0,15,0,0,99,NOT_FOUND,llm_rejected,INSTITUTION_MISMATCH|NO_TOPIC_DATA|PLAUSIBLE_CLINICIAN
Dr Victoria Louise Shepherd,1,15,15,15,0,12,15,0,0,0,62,NOT_FOUND,llm_rejected,SPECIALTY_WEAK|COUNTRY_MISMATCH|INSTITUTION_MISMATCH|HIGH_PUBLICATION_COUNT_FOR_CLINICIAN
